Post Date,Post Subtype,Post Type,Number Of Comments,Number Of Likes,Number Of Posts
2/4/2023,Level,Visual,1,4,107
2/4/2023,Goal,Visual,0,3,8
2/4/2023,Streak,Visual,0,6,33
2/4/2023,Collection,Visual,0,0,42
2/4/2023,Course Certificate,Visual,0,7,39
2/5/2023,Level,Visual,0,4,121
2/5/2023,Goal,Visual,0,34,75
2/5/2023,Streak,Visual,0,1,22
2/5/2023,Collection,Visual,0,2,49
2/5/2023,Course Certificate,Visual,0,9,64
2/6/2023,Text Post,Text Post,0,1,1
2/6/2023,Level,Visual,0,4,119
2/6/2023,Goal,Visual,0,0,3
2/6/2023,Streak,Visual,0,4,28
2/6/2023,Collection,Visual,0,4,59
2/6/2023,Course Certificate,Visual,0,10,56
2/6/2023,Career Track Certificate,Visual,0,1,1
2/7/2023,Level,Visual,0,4,111
2/7/2023,Streak,Visual,0,10,27
2/7/2023,Collection,Visual,0,3,49
2/7/2023,Course Certificate,Visual,0,14,55
2/8/2023,Level,Visual,0,1,121
2/8/2023,Streak,Visual,0,3,21
2/8/2023,Collection,Visual,0,0,38
2/8/2023,Course Certificate,Visual,0,7,36
2/8/2023,Career Track Certificate,Visual,0,1,1
2/9/2023,Level,Visual,0,6,133
2/9/2023,Streak,Visual,0,3,21
2/9/2023,Collection,Visual,0,0,51
2/9/2023,Course Certificate,Visual,0,23,50
2/9/2023,Career Track Certificate,Visual,1,1,1
2/10/2023,Level,Visual,0,1,122
2/10/2023,Streak,Visual,0,7,20
2/10/2023,Collection,Visual,0,1,34
2/10/2023,Course Certificate,Visual,0,11,64
2/11/2023,Level,Visual,0,1,90
2/11/2023,Goal,Visual,0,5,7
2/11/2023,Streak,Visual,0,12,42
2/11/2023,Collection,Visual,0,0,30
2/11/2023,Course Certificate,Visual,0,8,54
2/12/2023,Text Post,Text Post,0,1,1
2/12/2023,Level,Visual,0,2,110
2/12/2023,Goal,Visual,0,30,67
2/12/2023,Streak,Visual,0,3,24
2/12/2023,Collection,Visual,0,1,36
2/12/2023,Course Certificate,Visual,0,5,50
2/13/2023,Level,Visual,0,2,112
2/13/2023,Goal,Visual,0,2,6
2/13/2023,Streak,Visual,0,3,19
2/13/2023,Collection,Visual,0,3,48
2/13/2023,Course Certificate,Visual,1,1,68
2/13/2023,Career Track Certificate,Visual,0,1,1
2/14/2023,Text Post,Text Post,1,1,1
2/14/2023,Level,Visual,0,2,133
2/14/2023,Streak,Visual,0,2,20
2/14/2023,Collection,Visual,0,1,61
2/14/2023,Course Certificate,Visual,0,10,60
2/15/2023,Level,Visual,0,2,143
2/15/2023,Streak,Visual,0,4,22
2/15/2023,Collection,Visual,0,0,48
2/15/2023,Course Certificate,Visual,0,12,70
2/16/2023,Text Post,Text Post,1,1,1
2/16/2023,Level,Visual,0,1,138
2/16/2023,Streak,Visual,0,3,23
2/16/2023,Collection,Visual,0,0,39
2/16/2023,Course Certificate,Visual,0,3,36
2/17/2023,Text Post,Text Post,1,1,1
2/17/2023,Level,Visual,0,2,132
2/17/2023,Streak,Visual,0,1,16
2/17/2023,Collection,Visual,0,0,31
2/17/2023,Course Certificate,Visual,0,11,44
2/18/2023,Level,Visual,0,0,111
2/18/2023,Goal,Visual,0,3,8
2/18/2023,Streak,Visual,0,2,24
2/18/2023,Collection,Visual,0,2,37
2/18/2023,Course Certificate,Visual,0,13,39
2/19/2023,Text Post,Text Post,4,4,4
2/19/2023,Level,Visual,0,3,113
2/19/2023,Goal,Visual,0,28,62
